time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
3/8/2001,11,-21,0.0065,-0.01,35650,0.0591,163557,0.0591,2001,3,1
3/9/2001,11,-21,0.0063,-0.01,36600,0.0597,163557,0.0597,2001,3,1
3/8/2001,7,-39,0.0191,-0.054,37250,0.1451,163584,0.1451,2001,3,1
3/9/2001,7,-39,0.0239,-0.038,44500,0.1355,163584,0.1355,2001,3,1
3/10/2001,7,-39,0.0346,-0.026,43950,0.1462,163584,0.1462,2001,3,1
3/11/2001,7,-39,0.0302,-0.018,49200,0.1522,163584,0.1522,2001,3,1
3/12/2001,7,-39,0.0229,-0.02,45200,0.1377,163584,0.1377,2001,3,1
3/13/2001,7,-39,0.0247,-0.022,39250,0.1348,163584,0.1348,2001,3,1
3/14/2001,7,-39,0.0159,-0.024,39500,0.1095,163584,0.1095,2001,3,1
3/8/2001,19,-35,0.0137,-0.132,33400,0.1883,163602,0.1883,2001,3,1
3/9/2001,19,-35,0.0106,-0.138,28950,0.1909,163602,0.1909,2001,3,1
3/18/2001,7,-36,0.0309,-0.068,47250,0.1533,164199,0.1428,2001,3,1.0735294117647058
3/19/2001,7,-36,0.0288,-0.076,49300,0.1479,164199,0.1461,2001,3,1.0123203285420945
3/20/2001,7,-36,0.0267,-0.086,50650,0.1489,164199,0.1489,2001,3,1
3/21/2001,7,-36,0.0232,-0.101,42050,0.1426,164199,0,2001,3,
3/22/2001,7,-36,0.0198,-0.116,33450,0.1363,164199,0.1363,2001,3,1
3/23/2001,7,-36,0.0408,-0.104,53900,0.1946,164199,0.1946,2001,3,1
3/24/2001,6,-36,0.0425,-0.114,46500,0.1979,164199,0.1955,2001,3,1.0122762148337596
3/25/2001,6,-36,0.0415,-0.118,41500,0.2015,164199,0.2001,2001,3,1.0069965017491256
3/26/2001,6,-36,0.0323,-0.126,35550,0.2022,164199,0.195,2001,3,1.0369230769230768
3/19/2001,14,-38,0.0232,-0.294,42100,0.1824,164268,0.1824,2001,3,1
3/20/2001,14,-38,0.046,-0.282,59850,0.2576,164268,0.2449,2001,3,1.0518579011841567
3/21/2001,14,-38,0.0435,-0.28,51750,0.2906,164268,0.2906,2001,3,1
3/22/2001,14,-38,0.0419,-0.278,55800,0.2726,164268,0.2726,2001,3,1
3/23/2001,14,-38,0.032,-0.278,52400,0.2527,164268,0.2527,2001,3,1
3/24/2001,14,-38,0.0294,-0.278,43950,0.2292,164268,0.2292,2001,3,1
3/25/2001,14,-37,0.038,-0.278,39150,0.2547,164268,0,2001,3,
3/26/2001,13,-37,0.0466,-0.278,34350,0.2803,164268,0.2803,2001,3,1
3/21/2001,9,-37,0.0267,-0.04,39500,0.1464,164362,0.1455,2001,3,1.0061855670103093
3/22/2001,9,-37,0.026,-0.052,33300,0.1356,164362,0.1356,2001,3,1
3/23/2001,9,-37,0.0359,-0.048,35750,0.1585,164362,0.1574,2001,3,1.0069885641677254
3/24/2001,9,-37,0.0297,-0.046,35600,0.1574,164362,0.1574,2001,3,1
3/25/2001,9,-37,0.0251,-0.048,36200,0.1477,164362,0.1459,2001,3,1.0123372172721041
3/24/2001,11,-38,0.0256,0.046,32000,0.1494,164483,0.1494,2001,3,1
3/25/2001,11,-38,0.0342,0.034,41700,0.1338,164483,0.1338,2001,3,1
3/25/2001,12,-21,0.0091,-0.016,42600,0.0574,164564,0.0574,2001,3,1
3/26/2001,12,-21,0.0104,-0.016,39800,0.062,164564,0.062,2001,3,1
